ind,inh1,inh2,test_accuracy,test_precision,test_recall,test_f1,avg_3fold_acc,time
0,ATV,DRV,99.8889,99.889,99.8889,99.8889,99.8577,63.1465
1,ATV,FPV,99.8122,99.8119,99.8122,99.8119,99.7566,328.2428
2,ATV,IDV,99.866,99.8661,99.866,99.8661,99.8217,550.7226
3,ATV,LPV,99.863,99.8631,99.863,99.8631,99.808,763.2355
4,ATV,NFV,99.8436,99.8435,99.8436,99.8435,99.796,949.3836
5,ATV,SQV,99.8009,99.8011,99.8009,99.8009,99.808,1112.5874
6,ATV,TPV,99.8696,99.8696,99.8696,99.8696,99.8168,1299.8497
7,DRV,FPV,99.8874,99.8874,99.8874,99.8873,99.8715,1370.3115
8,DRV,IDV,99.8811,99.881,99.8811,99.8802,99.8682,1427.002
9,DRV,LPV,99.8905,99.8904,99.8905,99.8904,99.8907,1492.5567
10,DRV,NFV,99.9008,99.9023,99.9008,99.9015,99.8156,1586.8515
11,DRV,SQV,99.8785,99.8785,99.8785,99.8785,99.8219,1652.0013
12,DRV,TPV,99.9153,99.9143,99.9153,99.9145,99.894,1849.3074
13,FPV,IDV,99.7553,99.7537,99.7553,99.754,99.6974,2133.5047
14,FPV,LPV,99.8339,99.8331,99.8339,99.8334,99.7512,2405.1901
15,FPV,NFV,99.7634,99.765,99.7634,99.764,99.6915,2669.7802
16,FPV,SQV,99.7653,99.7658,99.7653,99.7655,99.6959,2891.2023
17,FPV,TPV,99.8704,99.8708,99.8704,99.8705,99.8133,3056.5474
18,IDV,LPV,99.8723,99.8723,99.8723,99.8723,99.8013,3300.0038
19,IDV,NFV,99.7994,99.7992,99.7994,99.7992,99.7536,3517.5036
20,IDV,SQV,99.7684,99.7682,99.7684,99.7683,99.7166,3698.5166
21,IDV,TPV,99.9073,99.9073,99.9073,99.9073,99.8534,3821.0562
22,LPV,NFV,99.8337,99.8345,99.8337,99.834,99.7646,4056.8477
23,LPV,SQV,99.7996,99.8005,99.7996,99.7999,99.7445,4239.3528
24,LPV,TPV,99.9207,99.9207,99.9207,99.9207,99.8599,4371.4284
25,NFV,SQV,99.7549,99.7552,99.7549,99.7549,99.6807,4583.2845
26,NFV,TPV,99.8643,99.8643,99.8643,99.8643,99.8121,4739.7453
27,SQV,TPV,99.8739,99.8738,99.8739,99.8738,99.8201,4866.439
