ind,inh1,inh2,inh3,test_accuracy,test_precision,test_recall,test_f1,avg_3fold_acc,time
0,ATV,DRV,FPV,99.8621,99.862,99.8621,99.862,99.8123,43.0778
1,ATV,DRV,IDV,99.9092,99.9099,99.9092,99.9094,99.8614,104.127
2,ATV,DRV,LPV,99.8874,99.8863,99.8874,99.8867,99.8534,166.3587
3,ATV,DRV,NFV,99.8963,99.8967,99.8963,99.8965,99.8293,264.5216
4,ATV,DRV,SQV,99.865,99.865,99.865,99.865,99.8115,292.4877
5,ATV,DRV,TPV,99.8652,99.8617,99.8652,99.8623,99.8607,399.7241
6,ATV,FPV,IDV,99.826,99.826,99.826,99.8259,99.7931,648.4769
7,ATV,FPV,LPV,99.8333,99.8341,99.8333,99.8336,99.8003,911.3474
8,ATV,FPV,NFV,99.8062,99.8098,99.8062,99.8076,99.7849,1138.793
9,ATV,FPV,SQV,99.7992,99.797,99.7992,99.7977,99.7625,1275.0573
10,ATV,FPV,TPV,99.85,99.8493,99.85,99.8494,99.8119,1369.469
11,ATV,IDV,LPV,99.8745,99.8757,99.8745,99.8748,99.8233,1544.2079
12,ATV,IDV,NFV,99.8703,99.8704,99.8703,99.8703,99.7945,1719.6401
13,ATV,IDV,SQV,99.819,99.821,99.819,99.8198,99.7957,1866.7213
14,ATV,IDV,TPV,99.8621,99.8604,99.8621,99.8613,99.8285,2011.6336
15,ATV,LPV,NFV,99.8444,99.8452,99.8444,99.8446,99.7971,2251.9172
16,ATV,LPV,SQV,99.8407,99.8418,99.8407,99.8411,99.7934,2420.7961
17,ATV,LPV,TPV,99.8652,99.8652,99.8652,99.8651,99.8138,2549.1772
18,ATV,NFV,SQV,99.817,99.8171,99.817,99.817,99.7592,2732.1645
19,ATV,NFV,TPV,99.8784,99.8788,99.8784,99.8785,99.8025,2880.6041
20,ATV,SQV,TPV,99.8438,99.8438,99.8438,99.8436,99.7927,2970.0086
21,DRV,FPV,IDV,99.8734,99.873,99.8734,99.8727,99.824,3005.9025
22,DRV,FPV,LPV,99.8518,99.8534,99.8518,99.8525,99.8212,3048.5374
23,DRV,FPV,NFV,99.8548,99.8532,99.8548,99.8539,99.8095,3070.8061
24,DRV,FPV,SQV,99.8296,99.8297,99.8296,99.8296,99.8438,3111.3855
25,DRV,FPV,TPV,99.8548,99.8542,99.8548,99.8542,99.8511,3167.279
26,DRV,IDV,LPV,99.9122,99.914,99.9122,99.9124,99.8755,3216.5869
27,DRV,IDV,NFV,99.8855,99.8964,99.8855,99.8906,99.8689,3256.4242
28,DRV,IDV,SQV,99.8451,99.8454,99.8451,99.8449,99.8217,3297.6131
29,DRV,IDV,TPV,99.8766,99.8761,99.8766,99.8752,99.866,3345.5657
30,DRV,LPV,NFV,99.8949,99.8943,99.8949,99.8944,99.8651,3386.9668
31,DRV,LPV,SQV,99.8711,99.8736,99.8711,99.8723,99.7934,3439.046
32,DRV,LPV,TPV,99.8742,99.8719,99.8742,99.8726,99.8622,3484.5187
33,DRV,NFV,SQV,99.8414,99.8421,99.8414,99.8415,99.7963,3525.1602
34,DRV,NFV,TPV,99.8949,99.894,99.8949,99.8933,99.8199,3604.0332
35,DRV,SQV,TPV,99.8414,99.8404,99.8414,99.8403,99.8161,3657.1269
36,FPV,IDV,LPV,99.8168,99.8146,99.8168,99.8148,99.7427,3942.0915
37,FPV,IDV,NFV,99.7463,99.7436,99.7463,99.7443,99.6694,4178.6976
38,FPV,IDV,SQV,99.7969,99.7983,99.7969,99.7969,99.6715,4312.7789
39,FPV,IDV,TPV,99.8391,99.837,99.8391,99.8379,99.8127,4401.1916
40,FPV,LPV,NFV,99.7925,99.7934,99.7925,99.7925,99.7278,4613.9758
41,FPV,LPV,SQV,99.79,99.7912,99.79,99.7903,99.7434,4778.3662
42,FPV,LPV,TPV,99.8554,99.8553,99.8554,99.8553,99.8285,4863.3335
43,FPV,NFV,SQV,99.7122,99.7157,99.7122,99.7133,99.6513,5015.9774
44,FPV,NFV,TPV,99.8351,99.8363,99.8351,99.8355,99.7937,5100.1174
45,FPV,SQV,TPV,99.8783,99.8786,99.8783,99.8784,99.8249,5183.1984
46,IDV,LPV,NFV,99.8235,99.8254,99.8235,99.8242,99.771,5341.9492
47,IDV,LPV,SQV,99.7983,99.7992,99.7983,99.7987,99.7587,5524.7167
48,IDV,LPV,TPV,99.8878,99.8861,99.8878,99.8868,99.8473,5629.5561
49,IDV,NFV,SQV,99.7549,99.7547,99.7549,99.7544,99.699,5814.9433
50,IDV,NFV,TPV,99.8781,99.8783,99.8781,99.8781,99.8285,5915.0669
51,IDV,SQV,TPV,99.8673,99.8673,99.8673,99.8672,99.8096,6013.091
52,LPV,NFV,SQV,99.7823,99.7831,99.7823,99.7826,99.7197,6171.3953
53,LPV,NFV,TPV,99.8564,99.8566,99.8564,99.8565,99.8277,6292.8066
54,LPV,SQV,TPV,99.8359,99.8371,99.8359,99.8363,99.8006,6376.8806
55,NFV,SQV,TPV,99.8439,99.8439,99.8439,99.8437,99.8045,6477.484
