ind,inh1,inh2,test_accuracy,test_precision,test_recall,test_f1,avg_3fold_acc,time
0,ATV,DRV,99.8904,99.8904,99.8904,99.8903,99.8723,116.5453
1,ATV,FPV,99.8452,99.8452,99.8452,99.8451,99.7724,376.4781
2,ATV,IDV,99.894,99.8941,99.894,99.8941,99.8092,610.4976
3,ATV,LPV,99.8537,99.8538,99.8537,99.8537,99.8155,873.958
4,ATV,NFV,99.836,99.8364,99.836,99.8361,99.8114,1143.2961
5,ATV,SQV,99.8331,99.8331,99.8331,99.8331,99.7926,1342.9387
6,ATV,TPV,99.866,99.8643,99.866,99.8652,99.8372,1528.1881
7,DRV,FPV,99.8577,99.8576,99.8577,99.8576,99.8489,1591.3531
8,DRV,IDV,99.9316,99.9286,99.9316,99.9301,99.9136,1652.9251
9,DRV,LPV,99.9378,99.9393,99.9378,99.9385,99.8958,1720.3504
10,DRV,NFV,99.9097,99.9082,99.9097,99.909,99.8615,1812.6567
11,DRV,SQV,99.874,99.874,99.874,99.874,99.8358,1877.0672
12,DRV,TPV,99.9584,99.958,99.9584,99.9581,99.8869,2044.0593
13,FPV,IDV,99.774,99.7716,99.774,99.7725,99.7361,2388.9554
14,FPV,LPV,99.8309,99.832,99.8309,99.8313,99.7778,2676.8563
15,FPV,NFV,99.7761,99.7753,99.7761,99.7755,99.7099,3006.8047
16,FPV,SQV,99.7922,99.7926,99.7922,99.7923,99.7298,3213.8099
17,FPV,TPV,99.8713,99.8713,99.8713,99.8713,99.8359,3335.6004
18,IDV,LPV,99.8746,99.8742,99.8746,99.8742,99.8132,3560.3492
19,IDV,NFV,99.8196,99.8193,99.8196,99.8194,99.7613,3781.9469
20,IDV,SQV,99.7998,99.7996,99.7998,99.7996,99.7534,4016.5586
21,IDV,TPV,99.8711,99.8711,99.8711,99.8711,99.8521,4167.431
22,LPV,NFV,99.8367,99.8378,99.8367,99.8371,99.7738,4411.5406
23,LPV,SQV,99.8529,99.8528,99.8529,99.8528,99.7648,4619.2589
24,LPV,TPV,99.8811,99.8811,99.8811,99.8811,99.856,4764.0477
25,NFV,SQV,99.7661,99.7662,99.7661,99.7661,99.7273,4946.7059
26,NFV,TPV,99.8943,99.8943,99.8943,99.8943,99.823,5118.8696
27,SQV,TPV,99.8642,99.864,99.8642,99.864,99.8132,5233.2053
