ind,inh1,inh2,inh3,test_accuracy,test_precision,test_recall,test_f1,avg_3fold_acc,time
0,ATV,DRV,FPV,99.8517,99.8515,99.8517,99.8514,99.8152,45.8169
1,ATV,DRV,IDV,99.9256,99.9263,99.9256,99.9258,99.8365,87.0784
2,ATV,DRV,LPV,99.8711,99.8696,99.8711,99.8703,99.8519,127.8412
3,ATV,DRV,NFV,99.8637,99.8621,99.8637,99.8627,99.8358,194.7918
4,ATV,DRV,SQV,99.8636,99.8636,99.8636,99.8635,99.8283,220.987
5,ATV,DRV,TPV,99.8667,99.8667,99.8667,99.8664,99.8183,289.6844
6,ATV,FPV,IDV,99.8243,99.823,99.8243,99.8229,99.7601,554.5696
7,ATV,FPV,LPV,99.8282,99.8302,99.8282,99.8288,99.7686,830.0261
8,ATV,FPV,NFV,99.791,99.7921,99.791,99.7913,99.7516,1060.7723
9,ATV,FPV,SQV,99.8364,99.8386,99.8364,99.8374,99.7658,1181.0377
10,ATV,FPV,TPV,99.8677,99.8674,99.8677,99.8675,99.7919,1293.8122
11,ATV,IDV,LPV,99.8677,99.8716,99.8677,99.8679,99.8149,1468.4904
12,ATV,IDV,NFV,99.8415,99.8412,99.8415,99.8412,99.8037,1652.267
13,ATV,IDV,SQV,99.8547,99.8543,99.8547,99.8541,99.7727,1790.3475
14,ATV,IDV,TPV,99.8807,99.8807,99.8807,99.8807,99.842,1905.2627
15,ATV,LPV,NFV,99.8461,99.8464,99.8461,99.8461,99.7905,2087.719
16,ATV,LPV,SQV,99.8059,99.8069,99.8059,99.8062,99.8075,2233.6473
17,ATV,LPV,TPV,99.8845,99.8837,99.8845,99.8841,99.8272,2357.7096
18,ATV,NFV,SQV,99.7983,99.7988,99.7983,99.7984,99.7558,2521.7747
19,ATV,NFV,TPV,99.8264,99.8268,99.8264,99.8265,99.8016,2703.8945
20,ATV,SQV,TPV,99.8562,99.8553,99.8562,99.8557,99.7983,2815.151
21,DRV,FPV,IDV,99.8719,99.8735,99.8719,99.8726,99.843,2853.7042
22,DRV,FPV,LPV,99.8459,99.8456,99.8459,99.8457,99.8402,2908.9948
23,DRV,FPV,NFV,99.8696,99.8666,99.8696,99.8681,99.8109,2938.7084
24,DRV,FPV,SQV,99.8429,99.843,99.8429,99.8428,99.8307,2978.9228
25,DRV,FPV,TPV,99.874,99.8735,99.874,99.8735,99.8423,3052.7235
26,DRV,IDV,LPV,99.9078,99.9044,99.9078,99.906,99.8696,3122.6551
27,DRV,IDV,NFV,99.8706,99.8689,99.8706,99.8696,99.8652,3171.9818
28,DRV,IDV,SQV,99.8466,99.8427,99.8466,99.8445,99.8012,3209.2291
29,DRV,IDV,TPV,99.8974,99.8983,99.8974,99.8975,99.8448,3273.4876
30,DRV,LPV,NFV,99.8653,99.8639,99.8653,99.8646,99.8287,3319.2211
31,DRV,LPV,SQV,99.8429,99.8438,99.8429,99.8432,99.8095,3364.4019
32,DRV,LPV,TPV,99.8905,99.8903,99.8905,99.8902,99.8404,3422.375
33,DRV,NFV,SQV,99.8236,99.824,99.8236,99.8236,99.8212,3458.0168
34,DRV,NFV,TPV,99.8446,99.8462,99.8446,99.8445,99.8032,3524.7085
35,DRV,SQV,TPV,99.8651,99.8649,99.8651,99.8648,99.8263,3589.4228
36,FPV,IDV,LPV,99.7942,99.7934,99.7942,99.7934,99.7431,3841.7753
37,FPV,IDV,NFV,99.7358,99.7341,99.7358,99.7345,99.6462,4102.3277
38,FPV,IDV,SQV,99.7325,99.7318,99.7325,99.7317,99.6682,4290.3606
39,FPV,IDV,TPV,99.8665,99.8657,99.8665,99.8659,99.8271,4401.5265
40,FPV,LPV,NFV,99.7948,99.7932,99.7948,99.7926,99.6893,4652.547
41,FPV,LPV,SQV,99.7862,99.7877,99.7862,99.7868,99.7134,4838.0143
42,FPV,LPV,TPV,99.866,99.8659,99.866,99.8659,99.8133,4986.9293
43,FPV,NFV,SQV,99.7324,99.7318,99.7324,99.7319,99.634,5183.4641
44,FPV,NFV,TPV,99.8616,99.8615,99.8616,99.8615,99.7985,5323.5655
45,FPV,SQV,TPV,99.8624,99.8623,99.8624,99.8623,99.8119,5428.8767
46,IDV,LPV,NFV,99.8002,99.8,99.8002,99.7998,99.7518,5659.2279
47,IDV,LPV,SQV,99.8096,99.8084,99.8096,99.8086,99.7335,5847.1842
48,IDV,LPV,TPV,99.8949,99.8948,99.8949,99.8947,99.8416,5981.6247
49,IDV,NFV,SQV,99.737,99.7347,99.737,99.7346,99.6408,6157.2085
50,IDV,NFV,TPV,99.8719,99.8718,99.8719,99.8718,99.832,6256.7916
51,IDV,SQV,TPV,99.8275,99.8285,99.8275,99.8278,99.814,6371.3958
52,LPV,NFV,SQV,99.7658,99.7659,99.7658,99.7657,99.7164,6529.7185
53,LPV,NFV,TPV,99.8811,99.8815,99.8811,99.8812,99.8238,6638.7024
54,LPV,SQV,TPV,99.8465,99.8453,99.8465,99.8454,99.8258,6754.282
55,NFV,SQV,TPV,99.8545,99.8544,99.8545,99.8544,99.798,6860.2643
